Sinif Adi                                    Vtable VA    Slots
CUIEventPostUp                               0x01029070   52
CUIEventPostUp_History                       0x01029144   52
CUIEventPremium                              0x01029224   52
CUIEventQuest                                0x010292F8   52
CUIEventSwitch                               0x010293E4   52
CUIEventTax                                  0x010294E8   52
CUIEventWeb                                  0x01029668   52
CUIEventWebSelect                            0x010297A4   52
CUIExitMenu                                  0x0102995C   52
CUIFishingHallOfFame                         0x01029C38   52
CUIFishingItemInterface                      0x01029D0C   52
CUIForce                                     0x0102A168   58
CUIForceBar                                  0x0102A254   52
CUIForceKing                                 0x0102A07C   58
CUIForceMember                               0x01029EA4   58
CUIForceOfficer                              0x01029F90   58
CUIFortune                                   0x0102A4B4   52
CUIFriends                                   0x0103FEB4   52
CUIFullMoonCaption                           0x0102A594   52
CUIGeneralWebPage                            0x0102A668   53
CUIGenie_Main                                0x0102B01C   67
CUIGenie_Sub                                 0x0102B250   52
CUIGlobalMap                                 0x0102BC74   52
CUIGuardPetState                             0x0102BD70   52
CUIHPBar                                     0x0102C250   52
CUIHelp                                      0x0102BE70   52
CUIHotKeyDlg                                 0x0102C020   67
CUIImageTooltipDlg                           0x0102C344   52
CUIInn                                       0x0102C484   52
CUIInnPW                                     0x0102C5A8   52
CUIInpuKey_Seal                              0x0102C6CC   52
CUIInsertID                                  0x0102C7FC   52
CUIInstanceDashBoard                         0x0102C92C   52
CUIInventory                                 0x0102D1A8   67
CUIInventoryRemainingSlot                    0x0102D2D0   52
CUIItemCrash                                 0x0102D458   67
CUIItemExchange                              0x0102D5A0   67
CUIItemHermeticSeal                          0x0102D7BC   52
CUIItemList                                  0x0102D8C4   53
CUIItemSeal                                  0x0102D9C4   52
CUIItemUpgrade                               0x0102DBBC   52
CUIItemtimeBtn                               0x0102DAA8   52
CUIJoinForce                                 0x0102DCA8   52
CUIKeyboardToolTip                           0x0102DE00   52
CUIKingElectionBoard                         0x0102DF04   52
CUIKingElectionList                          0x0102E024   52
CUIKingElectionMain                          0x0102E0F8   52
CUIKingElectionMemberRecommend               0x0102E304   52
CUIKingElectionOKMsgBox                      0x0102E3D8   52
CUIKingElectionRegist                        0x0102E4E4   52
CUIKingElectionVote                          0x0102E5F8   52
CUIKingElectionYesNoMsgBox                   0x0102E6CC   52
CUIKnights                                   0x0102E890   52
CUIKnightsMantleShop                         0x0102EA8C   57
CUIKnightsOperation                          0x0102EBD8   52
CUIKnightsOrnament                           0x0102ECC8   52
CUIKnightsUnion                              0x0102EE50   52
CUIKnightsUnionSub                           0x0102EF64   52
CUILOC_Betting                               0x0100E21C   52
CUILOC_Ladder                                0x0102F174   52
CUILOC_Ladder2                               0x0100E318   52
CUILOC_Notice                                0x0102292C   52
CUILOC_Skill                                 0x01022A3C   67
CUILOC_Start                                 0x0100EA20   52
CUILOC_Timer                                 0x01022B4C   52
CUILadderChaos                               0x0102F090   52
CUILanguageSelect                            0x0102F288   52
CUILeaderTransfer                            0x0102F380   52
CUILoading                                   0x0102F4B4   53
CUILogInNotice                               0x0102F97C   52
CUILoginIntro                                0x0102F7B8   52
CUILoginIntroSub                             0x0102F8A8   52
CUILunaMapVote                               0x0102FAF8   52
CUILunaWarBoard                              0x01041240   52
CUIMIniHpBar                                 0x0103134C   52
CUIMacro                                     0x0102FBCC   52
CUIMacroSetup                                0x0102FCC4   52
CUIMailSystem                                0x01030070   67
CUIMailSystemAlarm                           0x010301A4   52
CUIMailSystemList                            0x01030288   52
CUIMailSystemRead                            0x010303B8   52
CUIMainTopNotice                             0x0103048C   52
CUIMalaysiaIntro                             0x01030568   52
CUIManager                                   0x0103064C   52
CUIMapUserList                               0x010307C0   52
CUIMarkSelect                                0x010308A4   52
CUIMessageBox                                0x01030A84   52
